Text,Class,Type
"Traffic is moving really well on the BQE near Metropolitan ave. You know , in case you want to get swept off the highway by the hurricane ... .",None,N/A
"Staying with grandmother at ************** . Need to collect prescription meds . Car has no gas so ca n't get supplies . Also no money for re-supply . Gas would help , money would help , supplies would help .",Medical,need
4 one gallon containers of water,Water,resource
# sandy vs Zoe ... . winner gets the stick but it seems pretty one sided right now lba @ East Side River Walk http : //t.co/53LEXsf5,None,N/A
Hand out food ?,Food,resource
Talking about the hurricane as if she is a real person is no longer funny ...,None,N/A
"Hi , I sent an email earlier but I was n't signed into the website so I have no idea if the email went through . But my co-workers and I would like to donate as much as we can . We can donate clothing , non-perishable food , cleaning supplies , baby supplies , baby clothing , toys and other goods . If the need is great , we can reach out to our whole department of about 200 people and see what they would be willing to donate . I do n't have a vehicle to drop off the items but if it 's possible to pick up , that 'd be appreciated but I can definitely try to find a ride to drop it off . Thanks ! ******************",Food,resource
"i have men 's clothing , t shirts , jeans , socks and a few women 's pants . i have some canned goods and pasta as well .",Food,resource
I plan on driving up Thanksgiving morning from VA - what ever the need is at that time I hope to bring in my car - supplies / food / toys / products etc Please let me know what would be best - I will keep in touch,Food,resource
My hometown Va Beach got the most rainfall ( 9+ inches ) but least damage ... .weird how things turn out . # HurricaneSandy NYC,None,N/A
WAIT ... ... ... ... ... ... ... .. so when 's the hurricane supposed to hit ? ?,None,N/A
I 'm in good physical shape and can help clear debris and move food / supplies as need be .,Food,resource
“ @ amandadauriaa : there is a hurricane coming toward my house someone call 911 ... .”HAHAHA,None,N/A
"My brother and his family live at ***************** . They have no power and I’m not sure if they have enough food especially If ConEd won’t be up for a few days . His daughter called me today and what food they do have was placed by the window so it won’t spoil . They are on the top floor and I assume the elevator does not work . They only have a corded phone and can only call out . My brother recently had surgery to remove a tumor and is suppose to see the doctor this Thursday for a check up . So food is imperative for his recovery . Please if there is a way that someone can check on them that they are ok it would be greatly appreciated . Thank you so much . His brother , ****** who lives in Georgia : *************************** cell",Food,need
"Blankets , batteries , baby formula , socks",Energy,resource
transportation of food,Food,resource
Free food for Sandy victims @ Speedway School on South Orange Ave. Newark ... . # SANDYNJ # NewarkhelpingNewark,Food,resource
hi my name is ********** 3 sets of twins in brooklyn ny and in desperate need of diapers wipes and so on we had a flood of 5 feet of water and cant seem to get any help in my area please help me and my family,Water,need
New Yorkers food is the big hurricane issue . No MTA means no workers for stores . Closed bridges means limited resupply . # Sandy,None,N/A
"Going on day 6 without power . Getting the routine down . Candles , fireplace , grilling food . Gas in generator . Watch a DVD . # Sandy",None,N/A
I 'm really concerned my food is gunna go bad if I do n't eat it all before the storm and the power goes out,None,N/A
6 - 1 gallon jugs of drinking water .,Water,resource
"We are residents of Weehawken NJ and have collected items from our friends and family from upstate New York . We have warm clothes/winter jackets , diapers , baby food , and boxes of latex gloves . Is there a drop off site ? Thanks . ***** *************",Food,resource
Amen“ @ horwad : Sandy update ... I 'm going to bed after an amazing # sandybinge of Chinese food and philosophical conversation.”,None,N/A
"Am happy to purchase cleaning supplies , clothing or food .",Food,resource
Possible 140 mph winds ... .Hurricane Katrina had 110 mph winds ... .needless to say I 'm already planning my evacuation list,None,N/A
Damn Sandy ruined all my family 's cars ... And also ruined the floors in my apt.. At least my family is all safe and together..,None,N/A
Shower Curtain Scrubbing Bubbles/Bathroom Cleaner Dish Soap Sponges Towels and Wash Cloths Bathmats Batteries ( of all kinds ) Toilet Paper Laundry Detergent,Energy,need
"Pasta , canned food , granola bars , etc",Food,resource
"I can bring as much as I can carry in a few trips to the donation center . Whatever supplies are needed most . baby supplies , canned food , utensils , hygiene products",Food,resource
Bottled water,Water,resource
I have a box of 204 diapers . 900 wipes some canned foods . Body wash shampoo rinse,Food,resource
I can cook in large quantities to help those that need food cooked and dont have power.Be a cousler to help them file paper work for things that are lost link with churches and orginazations,Food,resource
Having fun at # Lexi 's ! Real food in real house with electrical lighting . Good times . I feel human again # escapingsandy,None,N/A
"We can donate clothing , towels , toys , and food",Food,resource
"We can supply clothing , baby supplies , non perishables , hygiene products and perhaps tools",Food,resource
"I have children 's clothing , adult clothing , children 's toys and books and a little food .",Food,resource
"Our MS Center is holding a symposium on Sunday 11/4 and will have many left over bagged lunches which include sandwiches , an apple , a bag of chips and a cookie in a cooler bag . The sandwiches are perishable but we have ways to keep them cool in the cooler bags with gel packs if we need to . We would like for this extra food to go to the hurricane victims . The employees would be able to bring the bags of food wherever we need to as long as it is in Manhattan . Please contact me and let me know if this is possible to set up . My name is **************** and my number is ************* . Thank you !",Food,resource
"Can Help to distribute supplies , water , etc to people . Help with clean up",Water,resource
Food Delivery/Preparation,Food,resource
"Here at the Reece School we have collected a variety of heavy duty cleaning supplies , nonperishable food items , warm clothing , personal care items , blankets , and pet food over the course of the past two weeks . We are looking for a location to drop off these donations during the week of November 26 , 2012 . Please contact me directly to arrange a date and time . Thank you in advance for your time !",Food,resource
"Please help . We are in need of non perishable food such as rice , pasta .baby food etc . We are in dire need of cleaning supplies due to flooding/water damage Clorox wipes , sponges , Cleaning sprays . Thank you for any assistance you can provide",Food,need
Omg i hope i dont lose power from this storm lol jk my power is still off from the hurricane,Energy,need
Aaaaand the powers gone . It was fun while it lasted . This just got real . # sandy,Energy,need
With ink-quill men by candlelight ! ! ! No power in East Village ! ! ! “ @ jnoulinmerat : @ TMurphyMusic how you surviving # sandy ? Making some musak ? ”,Energy,need
i 'm also good with food prep if there 's a need to feed people out there,Food,resource
"i have a few power tools , circular saw , drill etc. , and a bunch of hand tools rachets hammers screwdrivers and hard ware screws and nails and such and painting supplies",None,resource
can deliver food/meals,Food,resource
All we have for trick or treat are dead batteries and chicken bones . # sandy,Food,need
Blame it on the feminist ... # Sandy @ GoldsmithB : Wonder what Karl Rove says to his binder full of billionaires ...,None,N/A
"I got batteries , flashlights , first aid and 72 hour kit . BRING IT ON # HurricaneSandy IM READY ! ! ! !",None,N/A
can give out food and upplies,Food,resource
************************ . ( Needs confirmation of location . ) May need food .,Food,need
The storm did n't kill me . It just knocked out the power for a minimum of 7 days which includes the cell phone towers ... # alive,Energy,need
"I missed the volunteer opportunity at astoria library on sat . -- sorting , organizing , labeling , etc -- any similar opportunity coming up ?",None,resource
Donate water clothes blankets kids toys,Water,resource
"Soap , antibacterial handwipes , baby wipes , hand sanitizer , painkillers",Medical,resource
@ blade_donft Good stuff ... BA2 has to be the thinking man 's way to cross the pond . Especially in a stormageddon ... @ British_Airways,None,N/A
Sandy ... Such a benign name for such a brutal storm . It 's like a serial killer named Timmy . Robin Williams on David Letterman right now ...,None,N/A
"Help with clothing , preparing meals or food boxes .",Food,resource
"They are still in high need of food until the power comes back . Until we get a generator , there is no emergency lighting in the hallways or stairwells . Donations are being coordinated and can be dropped off at ********** ( at the corner of Cherry ) , where there is always a presence in the lobby ( security or manager ) 24 hrs a day .",Food,need
"Clothes ( men 's , women , s girls 6-8 , baby 0-6 ) . Some blankets , canned food , baby formula , a baby bottle , soap , toothpaste ... . Looking for more stuff . I can also donate frozen homemade baby food , it 's all veg/fruit purée frozen into cubes .",Food,resource
Gut wrenching and heart warming volunteering alongside Americas ' national guard distributing food and H2O after hurricane Sandy until 7pm .,None,N/A
"My experience volunteering for Sandy church with food and supplies , if you have time take time @ Kaiser Park http : //t.co/gOyTj0oJ",Food,resource
Water,Water,resource
"I would like to send a box of clothes , food and toiletries to Staten Island from Washington DC . Please let me know where I can safely send these items for immediate distribution to those who need them . Thanks !",Food,resource
I would also be happy to help hand out medical supplies if needed .,Medical,resource
"We are in dire need food such as rice , pasta , baby food . We also need cleaning supplies , such as clorox wipes , sponges , napklns etc .",Food,need
"I work for a mid size law firm that has offices in PA , NJ and NY . The proprietor has given me permission to take up collection of clothing , non-perishable foods , hygiene products , baby items , toys , and home goods . I need someone to contact me to work out logistics and paperwork . Thanks . *************",Food,resource
*NEED MET* my friend ******** in red hook has 9 rescue animals and is need of a generator . she has limited phone access..,Energy,need
# latenightcrew # sandy # coopfoodanddrink # hotelonrivington @ Co-op Food & Drink http : //t.co/HYowDIX5,None,N/A
If anyone is having a Hurricane Sandy costume party-potluck jamboree in Brooklyn I 've got D batteries & willing to barter for drinks & grub,None,N/A
"I can donate clothing , hot meals , non-perishable foods , and hygiene products .",Food,resource
"able bodied can help distribute donations , food etc .",Food,resource
Anyone able to collect and deliver prescription meds ?,Medical,need
"@ Bronx_PR @ bxfoodie @ fromthebronx Has anyone heard of any BX-specific volunteer opportunities after Sandy ? Or , a great BX volunteer org ?",None,N/A
Sandy makes the whole city romantic : Wine and Candles . Reading books . Playing w/o screens . Long friendly chats . http : //t.co/GkPTyhHH,None,N/A
Driving down from upstate . Will bring Cans of food Dog food Ensure Hats and gloves Cleaning supplies,Food,resource
"Canned goods , Boxes of crackers , Peanut Butter",Food,resource
@ DumboNYC : Oh no RT @ endtwist : ConEd power station in # DUMBO is flooding ! # nopower # sandy,Energy,need
"“ @ shawncarrie : We 've got a TON of extra prepared food where is it needed , and who 's got a truck ? @ OccupySandy” @ OccupyWallSt",Food,resource
I have almost no food left in my house,Food,need
"4 blankets , 4 coats , long sleeve shirts & sweatpants",Water,resource
warm cloths and non-perishable food,Food,resource
"administrative , food distribution",Food,resource
No food until tomorrow # sandyaftermath @ D'Agostino at 38th Street http : //t.co/Hr0I7Wzy,Food,need
Have worked in food kitchens and some construction during Katrina cleanup . I can help drag branches to piles and bundle . Can work organizing donations and in distribution centers .,Food,resource
"baby clothes , baby blankets , baby bottles and nipples , ready-made baby formula ; baby rice and other food ; toddler 's clothes ; toys for toddlers",Food,resource
"Hot water ( for a shower/bath ) after two weeks , and heat .",Water,need
"would like to help out distributing supplies , food , etc .",Food,resource
Extensive first aid supplies,Medical,resource
clothes- kid and adult toys /books canned food,Food,resource
"We are organizing a group of about 15 middle school students from Community Roots Charter School in Ft. Greene , who would love to do some weekend volunteer work . They could do meal service , clothing and other donation sorting , etc . Please advise .",Food,resource
"Great ... While everyone has been out having fun , I 'm storm prepping the shore house ... & the wind is already OD down here & im by myself",None,N/A
"I am on food stamps and I have $ 66.00 worth of $ 2.00 coupons ( i.e . 33 coupons ) that can be used to purchase fresh fruits and vegetables ( not other items ) at farmers ' markets around the city . They are transferable , so I would like to donate them to Sandy victims who have access to greenmarkets and want fresh produce . The list of participating markets is at www.nyc.gov/health/farmersmarkets , or at 311 . THE COUPONS EXPIRE 11/30 , so I 'd need to send them to you soon .",Food,resource
"We can donate warm clothes , work clothes and dry , non-perishable foods . When is best to bring these items to ********** ? Thank you .",Food,resource
"15 boxes of canned goods , toiletries and baby supplies",Food,resource
"can of olives , can of chickpeas , bag of pasta , bag of hard pretzels , ( also have sneakers I can donate )",Food,resource
"********************* we can bring what you need -- baby supplies , hygiene products , medicine , tools and other clean up supplies . let us know -- sending loads of good chi -- thanks",Medical,resource
Clothes sorting . Giving out food,Food,resource
"One of our canvassers has informed us that people at the Astoria Houses need Flashlights , Batteries , Warm Clothes , Candles . It 's likely this will be a sustained need as they do not expect to have power until Monday . Please respond in the comments if you need more info , can help coordinate transport , or think you can help meet any of these needs .",Energy,need
"Hot Food- 2 Trays of Egg Casseroles for either Saturday , Nov. 10th or Sunday , Nov. 11th in the morning . Please let me know when & where this would be most useful .",Food,resource
Guys this isnt a hurricane ... This is a `` tropical like system '' .. according to the news .,None,N/A
I have lots of hand and power tools as well as garden tools,None,resource
"I have a few baby supplies ( diapers , formula , blankets ) to give as well as water and some feminine hygiene products",Water,resource
Can also cook food .,Food,resource
"We ca n't get down to volunteer but have hygiene products , non perishable food and baby supplies to donate . Please send me an address and boxes will be sent out Thursday .",Food,resource
Can also bring water .,Water,resource
Are bags of ice needed ? I 'll be searching your site now to see what is most needed .,Water,resource
"Toilet paper , paper towels , tissues , bottled water",Water,resource
I 'm being encouraged to evacuate my apartment ... ... since its only a suggestion I think ill stay ! Bring it Sandy ! # aintgotnuthinonme,None,N/A
Welcome winter ... . Terrible time to come ... After a tropical hurricane ... # globalwarming # sa @ Staten Island http : //t.co/eyJFLS4k,None,N/A
I can make hot meals or bring blankets to people who need them . Let me know how I can help !,Food,resource
@ Scamandalous yup out in Roslyn braving # Sandy and just heard a transformer explode outside ! Power still on tho,Energy,need
"candles , bottled water , art supplies for kids",Water,resource
Will donate food and clothing . Whatever is needed .,Food,resource
"I have baby/toddler sweaters and sweatshirts , a couple heavy winter jackets ( one with a foot attachment ) , blankets , and a thick fleece snow suit . I also have a scarf , gloves , and a couple of sweaters for an adult . It 's not a lot , but I do n't need it out here in California . Can I mail it out to you ? I can also order diapers and wipes , batteries , etc . online if there 's a place I can send them to . Thanks .",Energy,resource
"I have lots of warm clothes for women and children . I also have hygiene products , canned food , paper plates , water and pet supplies ( canned dog food also ) .",Food,resource
"Toys and books for kids under five , batteries , hygiene products , Trash bags .",Energy,resource
There goes my Remote Desktop connection RT“ @ ReutersUS : Con Edison shuts off power to part of Lower Manhattan due Sandy http : //t.co/XdkArnvR”,Energy,need
"I am a manager at a non-profit - do n't have technical skills , but can coordinate efforts if needed . I also just want to be of service in any way - i can walk a zillion stairs to deliver food , help with food prep , etc . No special skills that are relevant to Sandy clean-up .",Food,resource
Friendly and good with people . healthy and would be good at bringing food/supplies to people in need preferably in the lower east side area or anywhere in Manhattan right now ( when public transport improves i could travel further ) available sat/sun only . thanks,Food,resource
"Help towards Christmas food towards meals , some gifts",Food,resource
"I am in Manhattan , I have a car and time to bring food or tools to SI ? this afternoon from 3-7pm",Food,resource
"Will these storms ever give L.I . a break ? First sandy , now a nor'easter . Still no power in long beach expected for a few wks . # c ' monman",Energy,need
Supermarket had no food # scary # hurricanesandy # nopower # instahub # instafood # instagram @ Super Stop & Shop http : //t.co/hY0TRezH,None,N/A
@ austeremoi It 's always good to weather the storm with good food and wine ... We 'd love to have you over,None,N/A
"cooking assistance , food prep , utensils and misc . cooking supplies .",Food,resource
"Everyone 's tweets yesterday included ... Sandy , food , and getting fat .",None,N/A
I want to help clean up . I can lift heavy things and do n't mind shuffling water out of a basement,Water,resource
She 's bringing the gallons to CAAAV tomorrow along with batteries .,Energy,resource
"My friends and family in Connecticut want to donate warm clothing , blankets , batteries , etc . We would like to physically help with debris removal , clean-up , etc . Please let us know where we can drop off these items and lend a hand on Sunday , November 11th . Thank you ! ! ********",Energy,resource
We have 26 boxes ( 156 candles ) of new candles . They were used as set dressing in a music video but were never lit .,Energy,resource
"53 matchbooks , several flashlights , a few batteries , lots of women 's clothing , several kitchen towels , all from 2-person household located in fort greene , brooklyn .",Energy,resource
New and used clothing . New toiletries . Bottled water,Water,resource
Power strips Toiletries Toilet paper,Energy,resource
canned and fresh food ( apples and veggies ) diapers clothing baby supplies hygiene products toys,Food,resource
@ alexalombardi97 snow is wet & heavy weighing down the power lines that r already week from Sandy ... .,None,N/A
"i have general hand tools- drill , saw , etc .",None,N/A
Finally left the apt ... . right outside the front door . # sandy @ 400 Central Park West http : //t.co/VxOD1wry,None,N/A
No school monday ... ..my life has been made # ThankYouHurricaneSandy # ILoveYou,None,N/A
"any kind of cleanup , food distribution , cooking , etc",Food,resource
"I am a veteran with tools ( circular saw , drill , jigsaw , drill bits/screwdriver heads , etc . ) I have nothing but time and energy to help out with whatever might be needed . I can even buy food/coffee and bring it in from Greenpoint , Brooklyn . I do not have a car , but I have a bike and can also see about chartering a car service there . Thank you : )",Food,resource
"I have non perishable food , baby supplies , hygiene products",Food,need
Good to see @ ConEdison in # newrochelle hope they get to my block soon i need # power # sandy # coned,Energy,need
"I have a minivan , and since I am upstate can bring in supplies if needed -- like gas , water , etc . I also have several airbeds .",Water,resource
"Canned soup , Mac n cheese boxes , etc",Food,resource
How do # hurricanes get their names ? ... ..,None,N/A
Has anyone ever considered gangnam style may be a rain dance and we brought Sandy upon ourselves ... .,None,N/A
"We have canned food and t-shirts , plus other limited clothing .",Food,resource
"Walked 2 blocks from my office on 41st St where the power is up , down to 39th St where the darkside begins . # postSandy",Energy,need
"No work tomorrow , going to be with Hubby & the kids . Enough food & cookies to sink a ship ... Gears 3 marathon ... thanks # SANDY # Frankenstorm",None,N/A
My favorite of the day Lawd Jesus ... .“ @ frankieciv608 wish I had her here during the storm ... Happy Tuesday Part 2 http : //t.co/BjOweYtW”,None,N/A
The apocalypse has begun ... prepare yourself ... # hurricanesandy # aftermath # apocalyptic # instagoo @ Pals Cabin http : //t.co/Nz18cG2n,None,N/A
So water batteries & bread is what people bought the most due to sandy ... there is no more batteries around,None,N/A
Gallon jugs of water,Water,resource
I live near the pharmacy so can collect prescription and over-the-counter meds if needed .,Medical,resource
"I am particularly concerned about seniors stuck in their apartments on upper floors and am willing ( and able ) to carry supplies up many flights of stairs . I can get to Red Hook easily by bike or bus . I am also able to cook and serve meals/wash dishes , sweep debris , whatever is needed .",Food,resource
"Water , plastic cups and plates , and blankets .",Water,resource
Eating cold Chinese food with a flash light . # sandyprobs,Energy,need
Peanut butter jelly sandwiches,Food,resource
900 ' of garden hose to get water down Pier 9B to PortSide NewYork flooded supplies/space alongside the tanker MARY A. WHALEN . Ideally wanted by Saturday 11/17/12 . Thank You !,Water,need
"Clothing , books , board games , hygiene products , bottles water , towels , home goods .",Water,resource
"Happy to donate food or any needed items , help with clean-up , keep people company , etc .",Food,resource
has the hurricane started because I do n't see a storm outside ... .,None,N/A
How 's everyone doing ? # Sandy,None,N/A
can bring food etc,Food,resource
"20 boxes ( large ) of baby supplies , toiletries and canned food",Food,resource
"batteries , propane , lighters , trash bags , can openers , utensils , tooth paste",Energy,resource
Huge tree across the street just completely uprooted and fell about a foot away from our neighbors house ... Lights flickering ... Sandys here,None,N/A
We just spent $ 20 on food at the herald sq market and they refused to let us charge our phones for a few mins # boycott # sandy # nyc,None,N/A
"I am a teacher at a school in Toronto and former New Yorker . Two weeks ago , my class came on a field trip to NYC and visited Added Value and had lunch at home/made ( ******* is a friend ) . We got out of the city just before the storm hit . The students have been collecting donations of the following items all week , and this weekend , I am coming back to NYC to volunteer and drop off donations . I have a huge box of following items : toothpaste/brushes deodorant baby products garbage bags soaps flashlights batteries candles work gloves dust masks Please let me know if you are in need of these items , or if you know of someone else that can use them . I can deliver them to Red Hook this Sunday . Thanks for your amazing work and organization . **************",Energy,resource
"Cereal , canned food . Are there more needed items ? Please let me know .",Food,resource
@ StressFactoryCC a skeleton walked into a bar ... Ordered a beer and a mop ? ? ( work with me ... I 'm recovering from a hurricane ... : - ),None,N/A
I am happy to serve food or help with taking food to people that ca n't get out .,Food,resource
"-3 boxes of baby clothes , 0-3 month and 3-6 month sizes -bottles , nipples , etc . -bottle sterilizer -wipes warmer -bouncy seat -breast-feeding pillow -2 boppies -bumbo chairs -2 mobiles -other assorted baby items",Medical,resource
In # ironbound looking @ what # Sandy did ... ... @ ironbound aka Newark http : //t.co/hpniWJW2,None,N/A
Just got ta find ants that havnt been wiped out by the snow storm ... ... .and chalk ... .,None,N/A
"Giving water , coats , blankets",Water,resource
Lights still out ... .. I wan na go outside in the rain # Sandy,Energy,need
Powerless in New Jersey post-Sandy http : //t.co/olkycq7X,Energy,need
"We can help clean streets , houses , prepare and deliver food . We have a push broom and rake . We can do anything needed that 's not heavy lifting",Food,resource
