Text,Class,Type
i am in the mountains in lavout there is no water to drink please help,Water,need
FOOD REQUIRED FOR NOWSHEWRA FEROZ.SUPPLY FOOD TO ME .,Food,need
He is in gros morne all the wounded are there but they do not have health care . i am asking you to come and help them for me please . he did n't precise the number of wounded people .,Medical,need
"Please , I do n't understand the message .",None,N/A
"I have Asthma , I ca n't find a pump or a pill called Asthma vit . I have no tent to sleep . Can you help me please .",Medical,need
My friends hello please do nt forget us we can not cope anymore . We have not eaten anything and we have children to take care of .,Food,need
how some one can send his colum vital for jobpam.com if he gets it on his jump ?,None,N/A
"We are hungry , we are in the streets . We were robbed we are currently in Vivi Mitchell , Route Freres",Food,need
Send me the exchange rate . Thank you .,None,N/A
I would like to go the hospital . I have time to go the provinces ecountryside . How can you help me ?,Medical,need
Debit is the quantity of liquid flowed during 1h 1mn 1s,None,N/A
I need all informations about the Haiti earthquake from January 13 to this day . thanks,None,N/A
I 'm in Thomazeau I do n't have food is they forget us in that zone we 're hardly hungry,Food,need
"i have a problem , becaue i ca n't find food to eat and my phone card is finished i ca nt call family abroard .",Food,need
Where are they doing the food distribution because I have n't received anything ?,Food,need
Please help me find some information until I can sudscribe to this service so I can get some information .,None,N/A
they gave me some tablets which can treat water . I have no enough instructions for use it very well . please !,Water,need
"In my area in Carrefour Feuille , Ave Magloire Ambroise , we did not find any help yet . Please let people know .",Food,need
"I have problems , do n't mess with me , I am hungry call me to tell me what you 'll give to me .",Food,need
WE NEED HELP TP START PLANTING FOOD TO FEED EVERYONE,Food,need
they say there will be a huge aftershock tonight bigger than the first earthquake i need to know if it 's true . we 're suffering a lot me my wife and kids .,Medical,need
Graphic Designer - IT professional .,None,N/A
"Toothache , ciamoon orange and fine salt can help",None,N/A
".. . elp . They need your help ASAP . So you should think about giving them lodging , food , clothes , . ..",Food,need
We did not receive either food or tents !,Food,need
kot addu medicines are most crucial requirement than food .,Medical,need
We need food distributions in Larat kadet ( Tomazo ),Food,need
We need medicine for Hypertension and tampons / pads and medicine for thee baby too .,Medical,need
I am a 4th year agriculture student . I live at Lalue 233,None,N/A
"Simple location : Name of place , street and number , town .",None,N/A
What they plan for this country ?,None,N/A
University of Saint Gerard in carrefour feuilles there are people under the rubles that are still alive .,Medical,need
"United nation see what you can do for us because we do n't find anything , we have some people sick , here what we need : medicine , covers , our house is broke down . Claude felix ask that .",Medical,need
"Good evening persons in charge , we still have not recieved any emergency aide at Labelaire , fontamara 43",Medical,need
why they do n't tell me : come to take a visa ? i am living in the bad country . i do n't find food how i am going at the toilet ?,Food,need
Please circulate this message to the authorities for me . Please send food for the victims who sought refuge in St. Mark .,Food,need
NOTES : Personal opinion . Not an emergency .,None,N/A
"Hello , will you please help me with a tent because it 's raining ..",Medical,need
I have no food . I 'm dying of hunger .,Food,need
